Destination ID,Country,apiSku,Product SKU,Plan Name,Data Allowanance,Validity Days,VOICE MIN,DATA,SMS,VALIDITY,BaseCost,markup,finalPrice,currency,Note / QR Code Expiry,status
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",HolidayZen12GB,HolidayZen12GB,Orange Holiday Europe NOW 20GB Voice & Data,20GB,30 days,30 International,20GB,200 International,30 days,7.88,7.88,15.76,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",EuropeandUK30GB,EuropeandUK30GB,Orange Holiday Europe NOW 50GB Voice & Data,50 GB,30 days,120 International,50 GB,1000 International,30 days,16.68,16.68,33.36,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",EUeSim50GB,EUeSim50GB,Orange Holiday Europe NOW 100GB Voice & Data,100GB,30 days,120 International,100GB,1000 International,30 days,20.2,20.2,40.4,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"Andorra, Azores, Aland islands, Austria, Balearic islands, Belgium, Canary Islands, Cyprus, Corfu, Crete, the Cyclades, Croatia, Czech Republic, Denmark, Estonia, Faeroe Islands, Finland, France mainland, Germany, Gibraltar, Greece, Guernsey, Hungary, Ireland, Iceland, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Madeira, Malta, Isle of Man, Norway, Netherlands, Poland, Portugal, Rhodes, Romania, Spain, United Kingdom, San Marino, Sardinia, Sicily, Slovakia, Switzerland, Sweden, Vatican City",ORANGEEUROPE200GB,ORANGEEUROPE200GB,Orange Holiday Europe 200GB,200GB,30 days,120 International,200GB,1000 International,30 days,31.4,31.4,62.8,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"Andorra, Azores, Aland islands, Austria, Balearic islands, Belgium, Canary Islands, Cyprus, Corfu, Crete, the Cyclades, Croatia, Czech Republic, Denmark, Estonia, Faeroe Islands, Finland, France mainland, Germany, Gibraltar, Greece, Guernsey, Hungary, Ireland, Iceland, Italy, Jersey, Latvia, Liechtenstein, Lithuania, Luxembourg, Madeira, Malta, Isle of Man, Norway, Netherlands, Poland, Portugal, Rhodes, Romania, Spain, United Kingdom, San Marino, Sardinia, Sicily, Slovakia, Switzerland, Sweden, Vatican City",ORANGEHOLIDAY500GB,ORANGEHOLIDAY500GB,Orange Holiday Europe 500GB,500GB,90 days,360 International,500GB,3000 International,90 days,67,67,134,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelersEurope1GB,TravelersEurope1GB,Travelers Europe eSIM 1gb - 7 Day,1GB,7 days,N/A,1GB,N/A,7 days,1.65,1.65,3.3,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelersEurope2GB,TravelersEurope2GB,Travelers Europe eSIM 2gb - 7 Day,2GB,7 days,N/A,2GB,N/A,7 days,2.17,2.17,4.34,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelersEurope3GB,TravelersEurope3GB,Travelers Europe eSIM 3gb - 3 Day,3GB,3 days,N/A,3GB,N/A,3 days,2.8,2.8,5.6,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelersEurope6GB,TravelersEurope6GB,Travelers Europe eSIM 6gb - 7 Day,6GB,7 days,N/A,6GB,N/A,7 days,4.37,4.37,8.74,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months. Check Balance: Dial #123#.,active
,"ANDORRA, AUSTRIA, BELGIUM, BULGARIA, CROATIA, CZECH REPUBLIC, DENMARK (INCLUDING FAROE ISLANDS), ESTONIA, FINLAND (INCLUDING ALAND ISLANDS), FRANCE (MAINLAND, INCLUDING CORSICA), GERMANY, GREECE (MAINLAND, INCLUDING CORFU, CRETE, CYCLADES, RHODES), HUNGARY, ICELAND, IRELAND, ITALY (INCLUDING SARDINIA, SICILY), LATVIA, LIECHTENSTEIN, LITHUANIA, LUXEMBOURG, MALTA (INCLUDING CYPRUS), MONACO, NETHERLANDS, NORWAY, POLAND, PORTUGAL (INCLUDING AZORES, MADEIRA), ROMANIA, SLOVAKIA, SLOVENIA, SPAIN (INCLUDING BALEARIC ISLANDS, CANARY ISLANDS), SWEDEN, SWITZERLAND, UNITED KINGDOM (INCLUDING GIBRALTAR, GUERNSEY, JERSEY, ISLE OF MAN), VATICAN CITY.",TravelersEurope10GB,TravelersEurope10GB,Travelers Europe eSIM 10gb - 30 Day,10GB,30 days,N/A,10GB,N/A,30 days,6.46,6.46,12.92,GBP,Activate upon arrival at your destination. The QR code can only be scanned once. Connect to WiFi before scanning the QR code and follow the prompts to download and install your eSIM. QR Code Expiry: 12 months.,active
